UTM180920201,UTM180920202
560604.326998586,8760373.11452129
560604.404316654,8760372.93947138
560604.518089152,8760372.94497292
560604.550808661,8760373.02477513
560604.620069572,8760372.8828585
560604.818688004,8760372.64662843
560605.212112737,8760372.43099275
560605.247527646,8760372.45505387
560605.393509659,8760372.41741584
560605.857205866,8760372.35044421
560606.113764788,8760372.20641048
560606.287104519,8760372.22596695
560606.405199574,8760372.09758617
560606.610758576,8760372.02930637
560606.802388715,8760371.84861012
560607.151861311,8760371.38501518
560607.311262537,8760371.336852
560607.604844288,8760371.22813177
560607.777684134,8760371.08004988
560607.915079776,8760371.04199691
560608.122756332,8760371.10791126
560608.218287332,8760371.0901824
560608.309005502,8760370.99400077
560608.532277145,8760370.91540354
560608.725985731,8760371.04768827
560608.8993256,8760371.0672451
560609.128988123,8760371.21244289
560609.424157947,8760371.20436852
560609.624345722,8760371.15817804
560609.912007204,8760371.12739209
560610.072467128,8760371.14632621
560610.372479288,8760371.08261477
560610.558708937,8760371.058098
560610.808818848,8760370.95845049
560610.997195181,8760370.9340376
560611.221525509,8760370.9225378
560611.402373713,8760370.96480668
560611.624047979,8760370.83026126
560611.841409147,8760370.78490165
560612.170396377,8760370.74494049
560612.481691125,8760370.62590371
560612.828390817,8760370.57562503
560613.099388574,8760370.66695116
560613.345175565,8760370.70118661
560613.626387339,8760370.71478676
560613.889357539,8760370.70515616
560614.143741127,8760370.69511035
560614.428167879,8760370.73121476
560614.744275311,8760370.69063136
560614.977741568,8760370.62370259
560615.264864189,8760370.60406609
560615.543410251,8760370.53931767
560615.724288561,8760370.44749708
560616.196552704,8760370.47033796
560616.44933899,8760370.40434387
560616.881365982,8760370.36936745
560617.237171576,8760370.39775047
560617.649339513,8760370.37298811
560618.176338324,8760370.42082563
560618.567009269,8760370.52911542
560618.915316764,8760370.49009047
560619.239990719,8760370.5393169
560619.482562739,8760370.55104947
560619.607078924,8760370.51237481
560619.975214965,8760370.59722649
560620.195241992,8760370.63021733
560620.5649854,8760370.72632123
560620.830061432,8760370.89558272
560621.120368265,8760371.03254175
560621.525526156,8760371.15270749
560621.929066277,8760371.30631801
560622.399732979,8760371.27321249
560622.902599521,8760371.24166464
560623.464504246,8760371.19062412
560623.656603929,8760371.31165911
560623.983953098,8760371.3945391
560624.27210249,8760371.57609172
560624.455615425,8760371.6967115
560624.912852532,8760371.7188288
560625.233751172,8760371.8460943
560625.66091426,8760371.95615155
560626.052652301,8760372.08684393
560626.222216978,8760372.18444066
560626.500244994,8760372.0414495
560626.779288915,8760372.14434216
560627.015399749,8760372.24515805
560627.311098465,8760372.27063638
560627.408776375,8760372.25301283
560627.488233938,8760372.12276488
560627.784482453,8760372.0923984
560627.965340544,8760372.08997297
560628.222431056,8760371.97949224
560628.425273963,8760372.05635049
560628.676421784,8760372.11319691
560628.787476842,8760372.26383511
560629.124480153,8760372.36953208
560629.423922279,8760372.45106351
560629.743773398,8760372.46653649
560629.992753301,8760372.61267272
560630.234225157,8760372.73609719
560630.514347273,8760372.81669426
560630.910399116,8760372.85820246
560631.127728975,8760372.9469363
560631.520566102,8760372.96594057
560631.682643563,8760372.95143282
560631.866176902,8760372.98266028
560632.22576755,8760372.88831337
560632.287481106,8760372.90247324
560632.561745094,8760372.7928242
560632.844035067,8760372.78413224
560633.140272939,8760372.79846373
560633.372650608,8760372.79853151
560633.740267305,8760372.80514205
