id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
"1","0","0","0",0.00000000000000,174.11202127513428,561003.547,8760416.244
"1","1","0","1",0.19638805660462,193.82592245111167,561003.567,8760416.049
"1","2","0","2",1.59982052084900,217.73370092336125,561002.791,8760414.879
"1","3","0","3",2.64015984993608,214.25539618876653,561002.096,8760414.105
"1","4","0","4",3.26834845162839,190.34761801442721,561001.815,8760413.544
"1","5","0","5",4.01513638389976,177.82772591328913,561001.892,8760412.801
"1","6","0","6",4.57389822102701,197.90572587016916,561001.877,8760412.242
"1","7","0","7",5.58251584897233,201.02567559322409,561001.309,8760411.409
"1","8","0","8",6.49983317525163,193.16965326257318,561001.185,8760410.500
"1","9","0","9",7.37307248981591,208.31318662898624,561000.907,8760409.672
"1","10","0","10",8.31010585885072,214.97905152840889,561000.329,8760408.934
"1","11","0","11",9.52920881514486,213.08948186512166,560999.685,8760407.899
"1","12","0","12",10.94806292768699,212.15650148004659,560998.886,8760406.727
"1","13","0","13",11.81060364336658,214.95929703202896,560998.454,8760405.980
"1","14","0","14",13.05421361949110,229.78245817559599,560997.656,8760405.026
"1","15","0","15",14.60173692326753,237.01760531412387,560996.321,8760404.244
"1","16","0","16",15.97849040192247,228.42281327130939,560995.202,8760403.442
"1","17","0","17",17.52070484778298,224.86030525656500,560994.160,8760402.305
"1","18","0","18",18.80144423165209,220.79525418371153,560993.220,8760401.435
"1","19","0","19",19.52845109089641,210.53982469455261,560992.810,8760400.835
"1","20","0","20",20.79559944028371,209.91714274479497,560992.240,8760399.703
"1","21","0","21",21.94905518820215,214.20048398457917,560991.610,8760398.737
"1","22","0","22",22.85668493940334,217.20498709373865,560991.085,8760397.996
"1","23","0","23",24.12455223204226,210.70131972311344,560990.285,8760397.013
"1","24","0","24",25.48063153330041,197.71412297976892,560989.771,8760395.758
"1","25","0","25",26.79021841315369,187.68987928346792,560989.473,8760394.483
"1","26","0","26",27.69583790596549,188.16862974562949,560989.438,8760393.578
"1","27","0","27",28.69521589646086,208.94652865184864,560989.195,8760392.608
"1","28","0","28",30.54281775859101,223.97620112893694,560987.916,8760391.275
"1","29","0","29",32.60353051866896,222.01520073850531,560986.480,8760389.796
"1","30","0","30",34.86778045367326,217.49851883241269,560985.029,8760388.059
"1","31","0","31",36.16899034072319,206.08262004753948,560984.280,8760386.994
"1","32","0","32",37.37421679489635,201.05995511596561,560983.927,8760385.842
"1","33","0","33",38.61887170828343,202.06585774718360,560983.399,8760384.715
"1","34","0","34",40.64344834855284,196.45739808123233,560982.738,8760382.801
"1","35","0","35",42.41243534578410,191.67357138757927,560982.315,8760381.084
"1","36","0","36",44.18348169750171,186.73305687669591,560982.023,8760379.337
"1","37","0","37",46.17675907973892,184.19735478414140,560981.884,8760377.348
"1","38","0","38",47.13136581475103,195.14419155591332,560981.811,8760376.397
"1","39","0","39",48.18576341610590,200.37789585465256,560981.351,8760375.448
"1","40","0","40",49.50988244338205,192.69292620749297,560981.011,8760374.168
"1","41","0","41",50.26637439737463,191.52427341249421,560980.873,8760373.424
"1","42","0","42",51.48139040940492,199.78212486933762,560980.609,8760372.238
"1","43","0","43",52.34582356745155,206.80024686301277,560980.216,8760371.468
"1","44","0","44",52.90245015637812,183.72736554407822,560979.967,8760370.970
"1","45","0","45",53.64802184704215,185.50545611146927,560980.211,8760370.266
"1","46","0","46",54.22868645129360,219.35687721612561,560979.920,8760369.764
"1","47","0","47",55.33042007379141,203.72501150287167,560979.094,8760369.035
"1","48","0","48",56.35856297949149,185.40329510163895,560979.114,8760368.007
"1","49","0","49",57.61415209010747,187.08652561076144,560978.854,8760366.779
"1","50","0","50",58.21789839456217,182.24213245876939,560978.831,8760366.175
"1","51","0","51",58.82164469720119,193.40985386201032,560978.807,8760365.572
"1","52","0","52",59.66364895415587,186.85993246388938,560978.457,8760364.806
"1","53","0","53",60.64925439292667,189.39599906730072,560978.643,8760363.838
"1","54","0","54",62.11823254728287,209.75781326343045,560977.916,8760362.562
